genres_position0,genres_position1,genres_position2,genres_freq,production_companies_position0,production_companies_position1,production_companies_freq,director_position0,director_freq
Action,Adventure,Fantasy,19,others,others,1,Pattyjenkins,2
Action,Adventure,Fantasy,19,others,others,1,Davidayer,5
Romance,Drama,no option,25,others,others,1,Rikswartzwelder,1
Drama,Action,no option,20,others,others,1,Peterberg,5
Romance,Comedy,Drama,11,others,others,1,Corbinbernsen,1
Drama,Romance,no option,53,others,others,1,Whitstillman,2
Comedy,Adventure,Fantasy,1,others,others,1,Jonathanlevine,5
Comedy,no option,no option,138,others,others,1,Johnfrancisdaley,2
Thriller,Drama,no option,18,others,AmblinEntertainment,1,Stevenspielberg,9
Drama,Romance,no option,53,others,others,1,Theasharrock,1
Drama,no option,no option,226,others,others,1,Johnwells,2
Comedy,Family,no option,8,others,others,1,Darrendoane,1
Comedy,no option,no option,138,others,others,1,Richardlinklater,5
Animation,Comedy,Family,8,DreamWorksAnimation,others,11,Tommcgrath,2
Adventure,Family,Fantasy,5,others,others,1,Davidlowery,4
ScienceFiction,Action,Thriller,2,others,others,1,Wesball,3
Drama,no option,no option,226,others,others,1,Jayroach,3
Romance,Fantasy,Drama,1,others,others,1,Leetolandkrieger,1
Drama,Thriller,no option,38,others,others,1,Luisprieto,2
Drama,War,no option,10,others,others,1,Anglee,3
Horror,Mystery,no option,9,others,others,1,Nahong-jin,1
Action,Adventure,Comedy,7,others,others,1,Timmiller,2
Drama,History,no option,36,others,others,1,Patriciariggen,3
Action,Adventure,Fantasy,19,LegendaryPictures,others,1,Jordanvogt-roberts,2
Comedy,no option,no option,138,others,others,1,Shanedawson,1
Horror,Thriller,no option,78,others,others,1,Stacytitle,1
Drama,History,Crime,1,others,others,1,Clinteastwood,8
Comedy,no option,no option,138,others,others,1,Danmazer,1
Crime,Thriller,Action,1,others,others,1,Jonm.chu,7
Romance,Comedy,Drama,11,others,others,1,Warrenbeatty,1
Romance,Drama,Family,1,others,others,1,Michaeldavis,1
Animation,Drama,Romance,1,others,others,1,Dukejohnson,1
